query,answer
Most sensitive test for H pylori,D. Urea breath test
Typhoid investigation of choice in 1st week,A. Blood culture
"Urogenital Diaphragm is made up of the following, except:
A. Deep transverse Perineus
B. Perinial membrane
C. Colle's fascia
D. Sphincter Urethrae",C. Colle's fascia
The technique for accurate quantification of gene expression is,C. Real-Time Reverse Transcriptase PCR
Child with Type I Diabetes. What is the advised time for fundus examinations from the time of diagnosis?,After 5 years
Perforation of stomach is more common due to ingestion of -,B. Sulphuric acid
Brown tumour is seen in,A. Hyperparathyroidism
Cytosolic cytochrome C plays an important function in -,A. Apoptosis
Ligation of the common hepatic aery will compromise blood flow in,D. Right gastric and right gastroepiploic aery
The arrow marked structure is which part of corpus callosum: Answer Choices: A. Rostrum B. Genu C. Body D. Splenium,D. Splenium
Trigeminal nerve has how many nucleus? Answer Choices: A. 2 B. 3 C. 4 D. 5,C
What is the most common site of origin of thrombotic pulmonary emboli?,A. Deep leg veins
Hallmark of breast malignancy on mammography?,C. Clusters of microcalcification
The deformity of tibia in triple deformity of the knee is?,"B. Flexion, posterior subluxation & external rotation"
"A patient presents to the doctor with diplopia when looking towards the right. On examination, he is unable to move his right eye laterally past the midline. Damage to which of these nerves would produce this clinical presentation?",A. Abducent nerve
Which of the following nipple discharge is most probably physiological?,B. B/L milky discharge with squeezing from multiple ducts
Arlt's line is seen in which condition?,D. Millar Gubler syndrome
NO is synthesized by -,D. Arginine
The serum concentration of which of the following human Ig is maximum: A. IgG B. IgA C. IgM D. IgD,A. IgG
Computed Tomography (CT scan) is least accurate for diagnosis of:,D. 1cm size Gall stones
Post transplant lymphoma is ?,B. B cell
A young male patient presents with complete rectal prolapse. The surgery of choice is,Abdominal rectopexy
Influenzae virus belongs to which family?,B. Orthomyxovirus
Which of the following insulin can be given intravenously?,D. Regular insulin
Tamsulosin belongs to,B. a1a receptor blockers
"Megaloblastic anemia, glossitis, pharyngeal ulcers, and impaired immunity. For each disorder above, select the dietary deficiency that is likely to be responsible. Answer Choices: A. Folate deficiency B. Thiamine deficiency C. Niacin deficiency D. Vitamin D deficiency","A, C, C, D"
BRCA-1 positive women have ____% increased risk of breast carcinoma,D. 60
Structures in the portal triad are all except:,B. Hepatic vein
